sentence	pred	gold	vua_label
<s> i do n't mind <m>having</m> my heart<m>strings pulled</m> , but do n't treat me like a <m>fool</m> . </s>	positive	negative	0.1818181818181818
<s> intriguing documentary which is emotionally <m>diluted</m> by <m>focusing on</m> the story 's least interesting <m>subject</m> . </s>	negative	positive	0.2222222222222222
<s> writer/director joe carnahan 's grim<m>y</m> crime drama is a <m>manual</m> of precinct cliches , but it <m>moves</m> fast enough to <m>cover</m> its <m>clunky</m> dialogue and <m>lapses in</m> logic . </s>	negative	positive	0.225
<s> as unseemly as its title <m>suggests</m> . </s>	negative	positive	0.1
<s> the iditarod lasts for days - <m>this</m> just <m>felt</m> like it <m>did</m> . </s>	positive	negative	0.1875
<s> an absurdist comedy <m>about</m> alienation , separation and <m>loss</m> . </s>	positive	negative	0.1666666666666666
<s> harrison 's flowers <m>puts</m> its <m>heart in</m> the right place , but its brains are in no particular place at all . </s>	negative	positive	0.12
<s> aside from minor tinkering , <m>this</m> is the same movie you probably loved <m>in</m> 1994 , except that it looks even better . </s>	negative	positive	0.08
<s> we <m>root</m> for ( clara and paul ) , even like them , though perhaps it 's an emotion <m>closer to</m> pity . </s>	negative	positive	0.1111111111111111
<s> ( d ) oes n't <m>bother</m> being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . </s>	negative	positive	0.0256410256410256
<s> no screen fantasy-adventure <m>in</m> recent memory has the showmanship of clones ' <m>last</m> 45 minutes . </s>	negative	positive	0.0952380952380952
<s> another one of <m>those</m> estrogen <m>overdose</m> movies like `` <m>divine secrets</m> of the ya ya <m>sisterhood</m> , '' except that the writing , acting and character development are a lot better . </s>	negative	positive	0.1764705882352941
<s> the x potion <m>gives</m> the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-<m>beam</m> eyes , which unfortunately do n't enable them to <m>discern</m> fl<m>imsy</m> screenplays . </s>	positive	negative	0.0975609756097561
<s> further proof that the <m>epicenter</m> of <m>cool</m> , beautiful , thought-<m>provoking</m> foreign cinema is <m>smack-dab in</m> the <m>middle</m> of dubya 's <m>axis</m> of evil . </s>	negative	positive	0.3142857142857143
<s> looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling <m>gives</m> a performance that could not be improved <m>upon</m> . ' </s>	negative	positive	0.0606060606060606
<s> moretti 's <m>compelling anatomy</m> of grief and the difficult process of adapting <m>to</m> loss . </s>	positive	negative	0.1666666666666666
<s> if you believe any of <m>this</m> , i can <m>make</m> you a real deal <m>on</m> leftover enron stock that will <m>double in</m> value a week <m>from</m> friday . </s>	positive	negative	0.1935483870967742
<s> so much fac<m>ile</m> technique , such <m>cute</m> ideas , so little movie . </s>	negative	positive	0.1333333333333333
