He	He		-1	-1
absorbed	absorb	v	0.absorb%2:31:00::	absorb%2:31:00::
the	the		-1	-1
knowledge	knowledge		-1	-1
or	or		-1	-1
beliefs	beliefs		-1	-1
of	of		-1	-1
his	his		-1	-1
tribe	tribe		-1	-1
.	.		-1	-1

He	He		-1	-1
absorbed	absorb	v	1.absorb%2:40:00::	absorb%2:40:00::
the	the		-1	-1
costs	costs		-1	-1
for	for		-1	-1
the	the		-1	-1
accident	accident		-1	-1
.	.		-1	-1

The	The		-1	-1
sales	sales		-1	-1
tax	tax		-1	-1
is	is		-1	-1
absorbed	absorb	v	2.absorb%2:30:00::	absorb%2:30:00::
into	into		-1	-1
the	the		-1	-1
state	state		-1	-1
income	income		-1	-1
tax	tax		-1	-1
.	.		-1	-1

The	The		-1	-1
immigrants	immigrants		-1	-1
were	were		-1	-1
quickly	quickly		-1	-1
absorbed	absorb	v	3.absorb%2:35:10::	absorb%2:35:10::
into	into		-1	-1
society	society		-1	-1
.	.		-1	-1

Her	Her		-1	-1
interest	interest		-1	-1
in	in		-1	-1
butterflies	butterflies		-1	-1
absorbs	absorb	v	4.absorb%2:31:03::	absorb%2:31:03::
her	her		-1	-1
completely	completely		-1	-1
.	.		-1	-1

This	This		-1	-1
boss	boss		-1	-1
abuses	abuse	v	5.abuse%2:41:00::	abuse%2:41:00::
his	his		-1	-1
workers	workers		-1	-1
.	.		-1	-1

Do	Do		-1	-1
n't	n't		-1	-1
abuse	abuse	v	6.abuse%2:30:00::	abuse%2:30:00::
the	the		-1	-1
system	system		-1	-1
.	.		-1	-1

The	The		-1	-1
actress	actress		-1	-1
abused	abuse	v	7.abuse%2:32:00::	abuse%2:32:00::
the	the		-1	-1
policeman	policeman		-1	-1
who	who		-1	-1
gave	gave		-1	-1
her	her		-1	-1
a	a		-1	-1
parking	parking		-1	-1
ticket	ticket		-1	-1
.	.		-1	-1

Her	Her		-1	-1
husband	husband		-1	-1
often	often		-1	-1
abuses	abuse	v	8.abuse%2:30:02::	abuse%2:30:02::
alcohol	alcohol		-1	-1
.	.		-1	-1

Can	Can		-1	-1
you	you		-1	-1
accommodate	accommodate	v	9.accommodate%2:34:00::	accommodate%2:34:00::
me	me		-1	-1
with	with		-1	-1
a	a		-1	-1
rental	rental		-1	-1
car	car		-1	-1
?	?		-1	-1

This	This		-1	-1
hotel	hotel		-1	-1
can	can		-1	-1
accommodate	accommodate	v	10.accommodate%2:42:03::	accommodate%2:42:03::
250	250		-1	-1
guests	guests		-1	-1

The	The		-1	-1
scientists	scientists		-1	-1
had	had		-1	-1
to	to		-1	-1
accommodate	accommodate	v	11.accommodate%2:30:01::	accommodate%2:30:01::
the	the		-1	-1
new	new		-1	-1
results	results		-1	-1
with	with		-1	-1
the	the		-1	-1
existing	existing		-1	-1
theories	theories		-1	-1

The	The		-1	-1
program	program		-1	-1
committee	committee		-1	-1
acknowledged	acknowledge	v	12.acknowledge%2:32:04::	acknowledge%2:32:04::
the	the		-1	-1
submission	submission		-1	-1
of	of		-1	-1
the	the		-1	-1
authors	authors		-1	-1
of	of		-1	-1
the	the		-1	-1
paper	paper		-1	-1

He	He		-1	-1
never	never		-1	-1
acknowledges	acknowledge	v	13.acknowledge%2:32:07::	acknowledge%2:32:07::
his	his		-1	-1
colleagues	colleagues		-1	-1
when	when		-1	-1
they	they		-1	-1
run	run		-1	-1
into	into		-1	-1
him	him		-1	-1
in	in		-1	-1
the	the		-1	-1
hallway	hallway		-1	-1

We	We		-1	-1
must	must		-1	-1
acknowledge	acknowledge	v	14.acknowledge%2:32:01::	acknowledge%2:32:01::
the	the		-1	-1
kindness	kindness		-1	-1
she	she		-1	-1
showed	showed		-1	-1
towards	towards		-1	-1
us	us		-1	-1

acknowledge	acknowledge	v	15.acknowledge%2:31:02::	acknowledge%2:31:02::
the	the		-1	-1
deed	deed		-1	-1

The	The		-1	-1
Crown	Crown		-1	-1
Prince	Prince		-1	-1
was	was		-1	-1
acknowledged	acknowledge	v	16.acknowledge%2:31:09::	acknowledge%2:31:09::
as	as		-1	-1
the	the		-1	-1
true	true		-1	-1
heir	heir		-1	-1
to	to		-1	-1
the	the		-1	-1
throne	throne		-1	-1

Permit	Permit		-1	-1
me	me		-1	-1
to	to		-1	-1
acquaint	acquaint	v	17.acquaint%2:32:00::	acquaint%2:32:00::
you	you		-1	-1
with	with		-1	-1
my	my		-1	-1
son	son		-1	-1
.	.		-1	-1

You	You		-1	-1
should	should		-1	-1
acquaint	acquaint	v	18.acquaint%2:32:01::	acquaint%2:32:01::
yourself	yourself		-1	-1
with	with		-1	-1
your	your		-1	-1
new	new		-1	-1
computer	computer		-1	-1
.	.		-1	-1

Please	Please		-1	-1
acquaint	acquaint	v	19.acquaint%2:32:02::	acquaint%2:32:02::
your	your		-1	-1
colleagues	colleagues		-1	-1
of	of		-1	-1
your	your		-1	-1
plans	plans		-1	-1
to	to		-1	-1
move	move		-1	-1
.	.		-1	-1

think	think		-1	-1
before	before		-1	-1
you	you		-1	-1
act	act	v	20.act%2:41:00::	act%2:41:00::

She	She		-1	-1
acts	act	v	21.act%2:36:03::	act%2:36:03::
in	in		-1	-1
this	this		-1	-1
play	play		-1	-1

You	You		-1	-1
should	should		-1	-1
act	act	v	22.act%2:29:00::	act%2:29:00::
like	like		-1	-1
an	an		-1	-1
adult	adult		-1	-1

She	She		-1	-1
acts	act	v	23.act%2:33:00::	act%2:33:00::
as	as		-1	-1
the	the		-1	-1
chair	chair		-1	-1

This	This		-1	-1
scene	scene		-1	-1
acts	act	v	24.act%2:42:00::	act%2:42:00::
well	well		-1	-1

He	He		-1	-1
addressed	address	v	25.address%2:32:00::	address%2:32:00::
the	the		-1	-1
crowd	crowd		-1	-1
outside	outside		-1	-1
the	the		-1	-1
window	window		-1	-1
.	.		-1	-1

He	He		-1	-1
always	always		-1	-1
addresses	address	v	26.address%2:41:08::	address%2:41:08::
me	me		-1	-1
with	with		-1	-1
`	`		-1	-1
Sir	Sir		-1	-1
'	'		-1	-1
.	.		-1	-1

You	You		-1	-1
must	must		-1	-1
adhere	adhere	v	27.adhere%2:42:00::	adhere%2:42:00::
to	to		-1	-1
the	the		-1	-1
rules	rules		-1	-1
.	.		-1	-1

They	They		-1	-1
adhered	adhere	v	28.adhere%2:30:00::	adhere%2:30:00::
to	to		-1	-1
their	their		-1	-1
plan	plan		-1	-1
.	.		-1	-1

The	The		-1	-1
residents	residents		-1	-1
of	of		-1	-1
