sentence1	sentence2	pred	gold	vua_label
<s> Q : Can I buy coverage for prescription drugs right away ?</s>	<s> Congress has <m>added</m> a new benefit - an option to buy insurance coverage for prescription drugs .</s>	equivalent	not_equivalent	0.032258064516129
<s> On the stand Wednesday , she said she was referring only <m>to</m> the kissing .</s>	<s> <m>On</m> the stand Wednesday , she testified that she was referring <m>to</m> the kissing <m>before</m> the alleged rape .</s>	equivalent	not_equivalent	0.1111111111111111
"<s> A European Union spokesman said the Commission was consulting EU member states "" <m>with</m> a <m>view to taking</m> appropriate action if necessary "" <m>on</m> the matter .</s>"	<s> Laos 's second most important export <m>destination</m> - said it was consulting EU member states ' ' <m>with</m> a <m>view to taking</m> appropriate action if necessary ' ' <m>on</m> the matter .</s>	equivalent	not_equivalent	0.1774193548387097
<s> BP shares <m>slipped</m> 0.8 percent <m>to</m> 433.50 pence ( $ 6.85 ) each <m>in</m> afternoon trading <m>on</m> the London Stock Exchange .</s>	<s> BP shares <m>slipped</m> 48 cents <m>to</m> $ 41.72 Friday <m>in</m> trading <m>on</m> the New York Stock Exchange .</s>	not_equivalent	equivalent	0.1568627450980392
<s> The world 's <m>largest</m> software company said it <m>recognized</m> the difficulty the multiple patches <m>posed</m> for companies , and <m>set out</m> to make it easier for them to <m>apply</m> the updates .</s>	<s> The world 's largest software company said it <m>recognized</m> the difficulty the multiple patches <m>posed</m> for companies trying to <m>apply</m> them .</s>	equivalent	not_equivalent	0.1551724137931034
<s> The study , published Monday <m>in</m> the journal Molecular Brain Research , is likely to also apply <m>to</m> humans , its authors said .</s>	<s> The study , conducted <m>on</m> the brains of developing mice , was being published today in the journal Molecular Brain Research .</s>	equivalent	not_equivalent	0.0625
"<s> "" We think that the United States of America should <m>support</m> the <m>free</m> speech of all groups , "" Mr. White said , objecting <m>to</m> Mr. Olson 's recommendation .</s>"	<s> We think that the United States of America should <m>support</m> the <m>free</m> speech of all groups , he said .</s>	equivalent	not_equivalent	0.0892857142857142
<s> The Dow Jones industrial average .DJI ended <m>up</m> 64.64 points , or 0.71 percent , <m>at</m> 9,191.09 , according to the latest available data .</s>	<s> The blue-<m>chip</m> Dow Jones industrial average .DJI <m>added</m> 38 points , or 0.42 percent , <m>to</m> 9,165 .</s>	not_equivalent	equivalent	0.0793650793650793
<s> As Samudra sat down to hear the indictment , he looked over to his nine lawyers and shouted ``God is <m>Great</m> ' ' three times .</s>	"<s> As he sat down to hear the indictment , Samudra looked over to his nine lawyers and shouted "" Takbir ! "" , or "" Proclaim ! "" , a religious <m>rallying</m> cry .</s>"	not_equivalent	equivalent	0.0285714285714285
<s> <m>On</m> Saturday , a 149mph serve <m>against</m> Agassi equalled Rusedski 's world record .</s>	<s> <m>On</m> Saturday , Roddick equalled the world record <m>with</m> a 149 m.p.h. serve <m>in</m> beating Andre Agassi .</s>	equivalent	not_equivalent	0.1020408163265306
<s> <m>In</m> the 2002 study , the <m>margin</m> of error <m>ranged from</m> 1.8 <m>to</m> 4.4 percentage <m>points</m> .</s>	<s> It <m>has</m> a margin of error of plus or minus three <m>to</m> four percentage <m>points</m> .</s>	not_equivalent	equivalent	0.2307692307692307
<s> Bob Richter , a spokesman for House Speaker Tom Craddick , <m>had</m> no comment <m>about</m> the ruling .</s>	<s> Bob Richter , spokesman for Craddick , R-Midland , said the speaker had not seen the ruling and could not comment .</s>	equivalent	not_equivalent	0.0392156862745098
<s> Secretary of State Colin Powell designated the Chechen leader believed responsible for last year 's hostage standoff in a Moscow theater as a threat <m>to</m> U.S. security Friday .</s>	<s> U.S. Secretary of State Colin Powell on Friday designated Chechen rebel leader Shamil Basayev a threat <m>to</m> the security of the United States and <m>to</m> U.S. citizens .</s>	not_equivalent	equivalent	0.0405405405405405
<s> Sony <m>claimed</m> that the reader 's capacitance sensing technology cannot be <m>fooled</m> by paper copies and does not require cleaning .</s>	<s> Its capacitance sensing technology electronically <m>reads</m> a fingerprint ; Sony <m>says</m> it can 't be <m>fooled</m> by paper copies and doesn 't require cleaning .</s>	equivalent	not_equivalent	0.0943396226415094
<s> Glover spoke <m>at</m> a news conference that included <m>about</m> 20 relatives of the victims .</s>	<s> <m>About</m> 20 family members of the victims were invited to the news conference .</s>	equivalent	not_equivalent	0.0967741935483871
<s> Corixa shares <m>rose</m> 54 cents <m>to</m> $ 7.74 yesterday <m>on</m> the Nasdaq Stock <m>Market</m> .</s>	<s> Shares of Corixa <m>rose</m> 54 cents , or <m>about</m> 8 percent , to <m>close at</m> $ 7.74 .</s>	equivalent	not_equivalent	0.1818181818181818
<s> Available July 7 , the software <m>supports</m> the Solaris , IBM AIX , Red Hat Linux and Windows operating systems .</s>	<s> The OpForce product currently <m>works with</m> Solaris , AIX , Red Hat Linux and Windows servers .</s>	equivalent	not_equivalent	0.0666666666666666
<s> They will help draft a <m>plan</m> to <m>attack</m> obesity that Kraft will implement <m>over</m> three <m>to</m> four years .</s>	<s> The team will help <m>draft</m> a <m>plan by</m> the <m>end</m> of the year to <m>attack</m> obesity .</s>	equivalent	not_equivalent	0.2368421052631578
<s> <m>After</m> 18 months , Nissen <m>found</m> that Lipitor <m>stopped</m> plaque buildup in the patients ' arteries .</s>	<s> <m>After</m> 18 months , the atorvastatin patients <m>had</m> no change in the plaque in their arteries .</s>	equivalent	not_equivalent	0.1162790697674418
<s> Toll , Australia 's second-largest transport company , last week <m>offered</m> NZ75 a share for Tranz Rail .</s>	<s> Toll last week offered to buy the company for NZ75c a share , or $ NZ158 million .</s>	not_equivalent	equivalent	0.0217391304347826
<s> Lu reclined in a soft chair wearing a woolly coat near the blackened capsule .</s>	"<s> "" It 's <m>great</m> to be <m>back</m> home , "" said Lu , dressed in a woolly coat near the blackened capsule .</s>"	equivalent	not_equivalent	0.0434782608695652
<s> Broomhead was assigned <m>to</m> 2nd Squadron , 3rd Armor Cavalry Regiment , based at Fort Carson .</s>	<s> Broomhead , 34 , was assigned <m>to</m> the 2nd Squadron , 3rd Armored Cavalry Regiment .</s>	not_equivalent	equivalent	0.0444444444444444
"<s> Rosenthal is hereby sentenced <m>to</m> custody of the Federal Bureau of prisons for one day <m>with credit</m> for time served , "" Breyer said <m>to tumultuous</m> cheers in the courtroom .</s>"	"<s> "" Rosenthal is hereby sentenced <m>to</m> custody of the Federal Bureau of Prisons for one day <m>with credit</m> for time served . ""</s>"	equivalent	not_equivalent	0.1379310344827586
