word	lemma	gloss	label	overlap_score	context	target_index
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.5	Besides , it 's important to the way a painter thinks that he should move in a certain atmosphere , an atmosphere in which he may [absorb] the ideas of other masters , as Durer went to Italy to meet Bellini and Mantegna '' .	26
absorb	absorb%2:35:00::	take in, also metaphorically	literal	_	`` If I could only think of something at the studio , near me , to [absorb] his boundless energy '' , I said .	15
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.0	In the more primitive areas , where the capacity to [absorb] and utilize external assistance is limited , some activities may be of such obvious priority that we may decide to support them before a well worked out program is available .	10
absorb	absorb%2:35:00::	take in, also metaphorically	literal	_	`` If I could only think of something at the studio , near me , to [absorb] his boundless energy '' , I said .	15
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.75	The former secretary of labor said he was proud to be an Eisenhower Republican `` and proud to have [absorbed] his philosophy '' while working in his adminstration .	19
absorb	absorb%2:35:01::	become imbued	literal	_	Not so obvious to her , but of more importance to her teachers , Helva ingested the precepts of her conditioning as easily as she [absorbed] her nutrient fluid .	25
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.25	We must not permit our society to become a slave to the scientific age , as might well happen without the cultural and spiritual restraint that comes from the development of the human mind through wisdom [absorbed] from the written word .	36
absorb	absorb%2:35:01::	become imbued	literal	_	The light was filtered by the soft glass window of the thermostat thus ensuring that only light [absorbed] by the chlorine and not by the carbon tetrachloride could enter the reaction cell .	16
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.0	Since the goal of our international planners is a World Government , this Atlantic Community would mark a giant step in that direction for , once American economic autonomy is [absorbed] , a larger grouping is a question of time .	30
absorb	absorb%2:35:00::	take in, also metaphorically	literal	_	The Colonial Light and Power Company was succeeded by the Vermont Hydro-Electric Corporation , which in turn was [absorbed] by the Central Vermont Public Service Corporation .	11
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.75	Durkheim noted long ago that religion as `` a unified system of beliefs and practices relative to sacred things - unite [ s ] into one single moral community - all those who [adhere] to them '' .	32
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	An examination of some forty catalogs of schools offering courses in interior design , for the most part schools accredited by membership in the National Association of Schools of Art , and a further `` on the spot '' inspection of a number of schools , show their courses [adhere] pretty closely to the recommendations .	38
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.5	Mr. Cunningham tries not to cheat the chance method ; he [adheres] to its dictates as faithfully as he can .	11
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	This objective is [adhered] to throughout the duration of the action .	3
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.5	The dead controlled the material prosperity of the living , and the living [adhered] to strict codes of conduct in order not to weaken that control .	13
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	This objective is [adhered] to throughout the duration of the action .	3
