question1	question2	pred	gold	vua_label
"<s> ""Are """"objects in the mirror really closer than they appear"""" in any vehicle?""</s>"	"<s> ""Why do car mirrors <m>state</m> that """"objects in mirror are closer than they appear""""?""</s>"	duplicate	not_duplicate	0.027027027027027
<s> How do I <m>control</m> my diabetes?</s>	<s> What are risk Factor of diabetes?</s>	duplicate	not_duplicate	0.0625
<s> Should I choose <m>further</m> maths or physics for my AS <m>Level?</m></s>	<s> Should I do <m>further</m> maths or physics <m>at</m> A <m>level?</m></s>	duplicate	not_duplicate	0.2
<s> How flipkart <m>works?</m></s>	<s> How do companies like Flipkart actually <m>work?</m></s>	duplicate	not_duplicate	0.1111111111111111
<s> How do I <m>find</m> investors for my medical startup?</s>	<s> How do I <m>find</m> investors for my startup?</s>	duplicate	not_duplicate	0.0952380952380952
<s> Why do I <m>get</m> dreams daily?</s>	<s> Why do we <m>get dreams?</m></s>	duplicate	not_duplicate	0.2
<s> What are thelatest off campus placements for 2017 <m>batch?</m></s>	<s> Is there any off campus placement for 2017 <m>batch?</m></s>	duplicate	not_duplicate	0.0833333333333333
<s> Why Modi's followers hate Rajdeep Sardesai? Is Rajdeep Sardesai a 'Bad<m>ass</m> Journalist' or Sonia Gandhi's syc<m>ophant?</m></s>	<s> Why do some people hate Rajdeep Sardesai?</s>	not_duplicate	duplicate	0.0652173913043478
<s> Will India ever be corruption-<m>free?</m></s>	<s> What <m>steps</m> must Indians <m>take</m> to <m>make</m> India corruption <m>free?</m></s>	duplicate	not_duplicate	0.238095238095238
<s> I lost my prescription slip for norco 10-325 <m>before</m> having filled it what can I do?</s>	<s> What do I do if I have lost my prescription <m>slips?</m></s>	not_duplicate	duplicate	0.0588235294117647
<s> What food should one eat to <m>gain</m> weight on their face?</s>	<s> How do I <m>gain</m> weight on my face?</s>	duplicate	not_duplicate	0.0869565217391304
<s> How can I get Fifa 17 Coins and Points for free?</s>	<s> FIFA 17 coins Generator Online is generating coins for FIFA 17 but only once. How can I <m>bypass</m> the restriction to generate coins multiple times for free?</s>	not_duplicate	duplicate	0.0232558139534883
<s> What are sugar skulls?</s>	<s> What do sugar skulls symbol<m>ize?</m></s>	duplicate	not_duplicate	0.0714285714285714
<s> Why did Paul Manafort quit as Donald Trump's presidential campaign chairman?</s>	<s> How <m>big</m> of a <m>deal</m> is Paul Manafort's resignation as TrumpâĢĻs campaign chairman?</s>	duplicate	not_duplicate	0.0606060606060606
<s> What is sex like with an older man?</s>	<s> What is it like to <m>have</m> sex with a older man?</s>	duplicate	not_duplicate	0.0434782608695652
<s> How is Tanmay Bhat <m>losing</m> weight?</s>	<s> Tanmay Bhat: How did you <m>manage</m> to reduce your fat?</s>	duplicate	not_duplicate	0.08
<s> How do I stop my dog <m>from</m> whining <m>after</m> getting spayed?</s>	<s> How do I stop my dog <m>from</m> whining?</s>	not_duplicate	duplicate	0.125
<s> What are the best books for preparation for CAT?</s>	<s> What are the <m>section-wise</m> best books to <m>prepare</m> for CAT?</s>	not_duplicate	duplicate	0.12
