sentence1	sentence2	pred	gold	vua_label
<s> George got <m>free</m> tickets to the play, but he gave them to Eric, because he was particularly eager to see it.</s>	<s> Eric was particularly eager to see it.</s>	not_entailment	entailment	0.0294117647058823
<s> Always <m>before,</m> Larry had helped Dad <m>with</m> his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.</s>	<s> Larry could not help him now.</s>	not_entailment	entailment	0.04
<s> I can't cut <m>that</m> tree down with <m>that</m> axe; it is too thick.</s>	<s> The tree is too thick.</s>	not_entailment	entailment	0.0833333333333333
<s> Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not <m>consider</m> that he had done anything dishonest. Still, anyone who knew that he was 19 years old could <m>take</m> his claim <m>away from</m> him.</s>	<s> Bernard was less than 21 when he filed for a homestead claim.</s>	not_entailment	entailment	0.0579710144927536
<s> The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a <m>long</m> time.</s>	<s> The journalists were very persistent, so the interview lasted for a <m>long</m> time.</s>	not_entailment	entailment	0.048780487804878
<s> If the con artist has succeeded <m>in</m> fooling Sam, he would have gotten a <m>lot</m> of money.</s>	<s> The con artist would have gotten a <m>lot</m> of money.</s>	not_entailment	entailment	0.0909090909090909
<s> When Tommy dropped his ice cream, Timmy giggled, so father <m>gave</m> him a <m>stern</m> look.</s>	<s> Father <m>gave</m> Timmy a <m>stern</m> look.</s>	not_entailment	entailment	0.1333333333333333
<s> <m>In</m> the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.</s>	<s> Now I have to <m>get</m> The roof repaired.</s>	not_entailment	entailment	0.054054054054054
<s> Mark heard Steve's feet going down the ladder. The door of the shop closed <m>after</m> him. He ran to look out the window.</s>	<s> Mark ran to look out the window.</s>	not_entailment	entailment	0.027027027027027
<s> No one <m>joins</m> Facebook to be sad and lonely. But a new study <m>from</m> the University of Wisconsin psychologist George Lincoln <m>argues</m> that <m>that's</m> exactly how it <m>makes</m> us <m>feel.</m></s>	<s> <m>That's</m> exactly how Facebook <m>makes</m> us <m>feel.</m></s>	not_entailment	entailment	0.2045454545454545
<s> Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a <m>poor chump</m> and that whatever <m>step</m> he <m>took in</m> any direction <m>on</m> his own <m>account</m> was just another proof of his innate idiocy.</s>	<s> Any direction <m>on</m> his own <m>account</m> was just another proof of David's innate idiocy.</s>	not_entailment	entailment	0.1538461538461538
<s> Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many <m>things</m> because he couldn't afford them.</s>	<s> He couldn't afford the things.</s>	not_entailment	entailment	0.0227272727272727
<s> They broadcast an announcement, but a subway <m>came</m> into the station and I couldn't hear <m>over</m> it.</s>	<s> I couldn't hear the subway.</s>	not_entailment	entailment	0.0689655172413793
<s> I'm sure that my map will <m>show this</m> building; it is very famous.</s>	<s> The building is very famous.</s>	not_entailment	entailment	0.0833333333333333
<s> Beth didn't get angry <m>with</m> Sally, who had <m>cut</m> her <m>off,</m> because she stopped and apologized.</s>	<s> Sally stopped and apologized.</s>	not_entailment	entailment	0.1111111111111111
