sentence1	sentence2	pred	gold	vua_label
<s> Google search for Travel WODs <m>has whole</m> lots of results which you can use.</s>	<s> As @Sarge says, <m>this</m> is for a doctor to diagnose properly.</s>	0.65	0.4	0.088235294117647
<s> <m>Part</m> of the accord was the implementation of a special health council that would monitor health spending and progress <m>in</m> reforming the health system.</s>	<s> A key <m>portion</m> of the accord was the implementation of a special council to monitor health spending, <m>set</m> goals for the system and <m>measure</m> progress <m>in</m> reforming health care.</s>	4.813	4.4	0.1034482758620689
<s> Shares of Coke <m>closed</m> New York Stock Exchange trading Thursday <m>at</m> $44.01.</s>	<s> <m>In</m> morning trading <m>on</m> the New York Stock Exchange, Coca-Cola shares were <m>down</m> 34 cents <m>at</m> $43.67.</s>	2.389	2.4	0.1428571428571428
<s> <m>This</m> looks a lot like an <m>invitation to</m> a No True Scottsman argument.</s>	"<s> I concur <m>with</m> @T.E.D; the question is a ""no True Scotsman"" bar bet.</s>"	2.741	3.8	0.0952380952380952
<s> Hong Kong <m>set</m> for democracy <m>march</m></s>	<s> Hong Kong <m>set</m> for <m>huge</m> democracy rally</s>	4.856	4.8	0.2666666666666666
<s> Iran leader Rouhani says nuclear deal <m>with</m> U.S. possible <m>within</m> Â¿three monthsÂ¿</s>	<s> Iran President Hassan Rouhani wants nuclear deal <m>in</m> months</s>	4.12	3.2	0.1
<s> The Standard & Poor's 500 Index <m>slipped</m> 4.77, or 0.5 percent, <m>to</m> 929.62.</s>	<s> The <m>broad</m> Standard & Poor's 500 Index .SPX <m>shed</m> 0.17 of a point, or just 0.02 percent, <m>to</m> 934.</s>	2.522	2.5	0.0892857142857142
<s> Aloes, like most succulents, are very hard<m>y</m> and will <m>withstand</m> considerable neglect .</s>	<s> Some of the guys at my office have potted aloe plants.</s>	1.807	1.6	0.0571428571428571
"<s> The <m>short answer</m> is: we are <m>made from</m> the ""stuff"" <m>contributed</m> by many stars.</s>"	<s> It is highly unlikely that we're made out of stuff from only one <m>star.</m></s>	2.709	3.2	0.1666666666666666
<s> Kenya Supreme Court <m>upholds</m> election result</s>	<s> Kenya SC <m>upholds</m> election result</s>	5.023	5.0	0.1333333333333333
<s> A caveat: I'm experiencing the <m>tail end</m> of a three day migraine.</s>	<s> I agree <m>with</m> the commentators that your question is a little confusing.</s>	0.83	0.0	0.1
<s> I  believe one cannot taste the difference <m>between</m> minced(canned) and fresh garlic once it is cooked.</s>	<s> <m>In</m> my experience, fresh garlic is great for when you want texture, or to slow down the flavour <m>infusion.</m></s>	2.259	1.8	0.0652173913043478
"<s> Announcing the selection, Kmart CEO Julian Day said Grey will help the retailer ""<m>find creative ways</m> to <m>communicate</m> the unique <m>strengths</m> of Kmart <m>to</m> the new America consumer.""</s>"	"<s> Together, we will <m>find creative ways</m> to communicate the unique <m>strengths</m> of Kmart <m>to</m> the '<m>new</m> America' consumer.""</s>"	3.63	3.25	0.2033898305084746
<s> I prefer to run the second <m>half</m> 1-2 minutes faster then the first.</s>	<s> I would definitely <m>go</m> for a slightly slower first half.</s>	2.846	2.6	0.0689655172413793
<s> The Nasdaq composite index <m>advanced</m> 20.59, or 1.3 percent, <m>to</m> 1,616.50, <m>after gaining</m> 5.7 percent last week.</s>	<s> The technology-<m>laced</m> Nasdaq Composite Index <.IXIC> <m>climbed</m> 19.11 points, or 1.2 percent, <m>to</m> 1,615.02.</s>	2.046	2.0	0.1194029850746268
<s> Foreign companies <m>eye new</m> '<m>opening-up'</m></s>	<s> More carriers likely in China</s>	0.727	0.6	0.25
<s> DPRK leader <m>calls</m> for better <m>ties</m> with S.Korea</s>	<s> North Korea <m>urges</m> foreigners to leave South Korea</s>	0.58	0.4	0.1428571428571428
<s> It was the third time <m>in</m> four years that wildfires forced the park to close.</s>	<s> For the third time <m>in</m> four years wildfires closed Mesa Verde National Park, the countryâĢĻs only park dedicated <m>to</m> ancient ruins.</s>	3.7	3.0	0.0666666666666666
<s> A dog walks along a beach with <m>breaking</m> waves.</s>	<s> A boy with an oar walks out of the surf and onto a beach.</s>	1.455	1.0	0.0357142857142857
<s> The person is starting a fire.</s>	<s> A person <m>makes</m> fire.</s>	4.671	5.0	0.0714285714285714
<s> But price declines have remained <m>below</m> 30 percent, year <m>over</m> year, for the last two quarters, said IDC analyst John McArthur.</s>	<s> McArthur told internetnews.com price declines have moderated and remained <m>below</m> 30 percent <m>from</m> the previous year for the last two quarters.</s>	4.175	3.75	0.0714285714285714
<s> <m>About</m> 25 governments have signed <m>in</m> the last four months, <m>about</m> half of <m>those in</m> the last three weeks.</s>	<s> According to the State Department list, <m>about</m> 25 nations have signed bilateral agreements <m>in</m> the past four months, <m>about</m> half <m>in</m> the past three weeks.</s>	4.064	3.2	0.1764705882352941
<s> Israelis, Palestinians convene <m>over</m> prisoner swap</s>	<s> Israeli lawmakers <m>call</m> for internal probe <m>into</m> case of Prisoner X</s>	1.665	1.2	0.1363636363636363
<s> For fiction, I <m>have</m> little proof to <m>show</m> of blogs being published as print and/or ebooks.</s>	<s> To answer your question, yes, I think blogging your fiction will <m>hurt</m> your attempts to be traditionally published later.</s>	2.269	1.8	0.0666666666666666
<s> Two women are <m>lost</m> and calling for help.</s>	<s> Two Asian men are <m>gathering materials</m> for their business and their child had to come with them.</s>	0.267	0.2	0.1034482758620689
<s> Red ball under yellow floodlight <m>takes on</m> a brownish color which is very similar <m>to</m> the color of the pitch.</s>	<s> I am too a hobby swimmer but as <m>part</m> of my triathlon training.</s>	0.406	0.0	0.0975609756097561
<s> I visit AZ every summer and <m>include</m> some hikes in the desert when I'm there.</s>	<s> Apart from what has been said, your need of water also depends <m>on</m> what you eat.</s>	0.79	0.2	0.054054054054054
<s> Before you want to start the study of a <m>subject,</m> figure out what you want to achieve.</s>	<s> As Eugene suggests, try to figure out what you want to achieve.</s>	3.326	3.2	0.0285714285714285
