sentence	pred	gold	vua_label
<s> a mood<m>y</m> , multi-dimensional love story and sci-fi mystery , solaris is a thought-prov<m>oking</m> , <m>haunting</m> film that <m>allows</m> the <m>seeds</m> of the imagination to <m>germinate</m> . </s>	positive	positive	0.2051282051282051
<s> the wild thornberrys movie is a <m>jolly</m> surprise . </s>	positive	positive	0.1538461538461538
<s> the story and <m>structure</m> are well-<m>honed</m> . </s>	positive	positive	0.2727272727272727
<s> <m>this</m> is a good script , good dialogue , funny even for adults . </s>	positive	positive	0.0666666666666666
<s> basically a <m>static</m> series of semi-improvised ( and semi-coherent ) <m>raps</m> between the stars . </s>	negative	negative	0.125
<s> every nanosecond of the the new guy reminds you that you could be doing something else <m>far</m> more pleasurable . </s>	negative	negative	0.0416666666666666
<s> not since tom cruise <m>in</m> risky business has an actor <m>made</m> such a <m>strong impression</m> in his underwear . </s>	positive	positive	0.2
<s> villeneuve <m>spends</m> too much time <m>wallowing in</m> bibi 's generic angst ( there are a <m>lot</m> of shots of her gazing out windows ) . </s>	negative	negative	0.1612903225806451
<s> for starters , the story is just too <m>slim</m> . </s>	negative	negative	0.0909090909090909
<s> griffiths proves she 's <m>that</m> rare luminary who continually <m>raises</m> the <m>standard</m> of her profession . </s>	positive	positive	0.1428571428571428
<s> <m>at</m> times , the suspense is <m>palpable</m> , but <m>by</m> the <m>end</m> there 's a <m>sense</m> that the cru<m>x</m> of the mystery <m>hinges on</m> a technicality that <m>strains</m> credulity and <m>leaves</m> the viewer <m>haunted</m> by the <m>waste</m> of potential . </s>	negative	negative	0.2608695652173913
<s> <m>without</m> non-<m>stop</m> techno or the existential over<m>tones</m> of a kieslowski morality tale , maelstr̦m is just another winter sleepers . </s>	negative	negative	0.09375
<s> for each chuckle there are at least 10 complete <m>misses</m> , many <m>coming from</m> the amazingly lifelike tara reid , whose acting skills are comparable <m>to</m> a cardboard <m>cutout</m> . </s>	negative	negative	0.1666666666666666
<s> it 's <m>played in</m> the most <m>straight-faced fashion</m> , <m>with</m> little humor to <m>lighten</m> things <m>up</m> . </s>	negative	negative	0.4090909090909091
<s> <m>this</m> tenth feature is a <m>big</m> deal , indeed -- at least the third-best , and maybe even a <m>notch above</m> the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . </s>	positive	positive	0.0869565217391304
<s> it <m>showcases</m> carvey 's talent for voices , but not nearly enough and not <m>without taxing</m> every <m>drop</m> of one 's patience to <m>get to</m> the good <m>stuff</m> . </s>	negative	negative	0.2121212121212121
<s> ... a fun <m>little</m> timewaster , <m>helped</m> especially by the <m>cool</m> presence of jean reno . </s>	positive	positive	0.1428571428571428
<s> the piece <m>plays</m> as well as it does thanks <m>in large</m> measure <m>to</m> anspaugh 's three <m>lead</m> actresses . </s>	positive	positive	0.217391304347826
