metaphor	metaphor_symbol	literal	literal_symbol	bleu_score
Her husband often abuses alcohol.	['infidelity', 'violence', 'abuse', 'divorce', 'alcoholic lifestyle']	Her husband often drinks alcohol.	['infidelity', 'marriage', 'drunkenness', 'love', 'divorce']	0.3333333333333333
Inheritance may not ascend linearly.	['wealth', 'poverty', 'selfishness', 'fortune', 'sin']	Inheritance may not pass on linearly.	['wealth', 'longevity', 'fortune', 'poverty', 'family history']	0.49123845184678916
He blazed away at the men.	['masculinity', 'passion', 'war', 'love', 'man']	He shot away at the men.	['war', 'violence', 'danger', 'stupidity', 'hatred']	0.2
The spaceship blazed out into space.	['destruction', 'hope', 'space', 'danger', 'freedom']	The spaceship departed out into space.	['space', 'freedom', 'danger', 'hope', 'departure']	0.8
The Senator blistered the administration in his speech on Friday.	0	The Senator criticized the administration in his speech on Friday.	0	
The tax cut will boost the economy.	['wealth', 'prosperity', 'economic growth', 'economy', 'good economy']	The tax cut will improve the economy.	['wealth', 'prosperity', 'good life', 'economic growth', 'economy']	0.8571428571428571
She circulates among royalty.	['royalty', 'wealth', 'power', 'status', 'monarchy']	She appears among royalty.	['wealth', 'royalty', 'wealth and power', 'status', 'wealth and status']	0.35946317129377736
Their faces were clouded with sadness.	['loss', 'sorrow', 'sadness', 'despair', 'grief']	Their faces were marked with sadness.	['loss', 'sorrow', 'sadness', 'life', 'despair']	0.8
The stroke clouded memories of her youth.	['youth', 'childhood', 'love', 'innocence', 'life']	The stroke impaired memories of her youth.	['youth', 'childhood', 'life', 'good life', 'past']	0.49123845184678916
She designed to go far in the world of business.	0	She intended to go far in the world of business.	0	
Life in the camp drained him.	['life', 'despair', 'death', 'loneliness', 'rest']	Life in the camp weakened him.	['despair', 'defeat', 'strength', 'death', 'pain']	0.4
The exercise class drains me of energy.	['tiredness', 'fatigue', 'laziness', 'stress', 'health']	The exercise class depletes me of energy.	['fatigue', 'tiredness', 'laziness', 'loss', 'health']	0.8
One should not exhaust one's savings.	['wealth', 'success', 'good fortune', 'debt', 'poverty']	One should not use up one's savings.	['poverty', 'debt', 'wealth', 'selfishness', 'life']	0.5
We have exhausted the food supplies.	['hunger', 'starvation', 'defeat', 'we d', 'conserve energy']	We have used up the food supplies.	['we d', 'conserve resource', 'rationing', 'hunger', 'conserve']	0.5714285714285714
Many of the laboratory animals express the trait.	['animal', 'animal life', 'intelligence', 'knowledge', 'evolution']	Many of the laboratory animals have the trait.	['animal', 'similarity', 'evolution', 'intelligence', 'dna']	0.5
They fastened various nicknames to each other.	['individuality', 'good luck', 'geek', 'individualism', 'friendship']	They gave various nicknames to each other.	['individuality', 'good luck', 'love', 'friendship', 'person']	0.6666666666666666
These events could fracture the balance of power.	['power', 'world economy', 'nation', 'country', 'world']	These events could destroy the balance of power.	['power', 'world economy', 'democracy', 'peace', 'world']	0.6666666666666666
This writer really fractures the language.	['language', 'knowledge', 'idea', 'human language', 'life']	This writer really misuses the language.	['language', 'knowledge', 'genius', 'creativity', 'person']	0.3333333333333333
I gather you have not done your homework.	['laziness', 'your ignorance', 'class', 'fail', 'failure']	I infer you have not done your homework.	['fail', 'knowledge', 'math', 'failure', 'class']	0.5
This vaccine will guard you against infection.	['disease', 'malignant tumor', 'infection', 'illness', 'hiv']	This vaccine will protect you against infection.	['disease', 'infection', 'illness', 'virus', 'hiv']	0.6666666666666666
Tears guttered down her face.	['sadness', 'sorrow', 'pain', 'heartache', 'loss']	Tears ran down her face.	['loss', 'sadness', 'pain', 'sorrow', 'heartache']	1.0
The fate of Bosnia lies in the hands of the West.	0	The fate of Bosnia is in the hands of the West.	0	
He locked his hands around her neck.	['love', 'passion', 'fear', 'life', 'power']	He encircled his hands around her neck.	['love', 'love and commitment', 'love and acceptance', 'passion', 'life']	0.269597378470333
They were locked in embrace.	['love', 'passion', 'love and passion', 'love and commitment', 'love and desire']	They were together in embrace.	['love', 'togetherness', 'love and commitment', 'love and passion', 'passion']	0.7272727272727273
He was locked in a laughing fit.	['laughter', 'pain', 'happiness', 'stupidity', 'humor']	He was overwhelmed in a laughing fit.	['happiness', 'joy', 'laughter', 'love', 'good']	0.4
The new moon peeped through the tree tops.	['new year', 'celebration', 'spring', 'life', 'hope']	The new moon appeared through the tree tops.	['new year', 'celebration', 'spring', 'zodiac', 'hope']	0.8333333333333334
The hikers did not manage to penetrate the dense forest.	0	The hikers did not manage to advance into the dense forest.	0	
The cold pierced her bones.	['pain', 'death', 'fear', 'loneliness', 'life']	The cold affected her bones.	['winter', 'cold', 'death', 'life', 'pain']	0.6
The scream pierced the night.	['terror', 'pain', 'death', 'nightmare', 'fear']	The scream sounded in the night.	['terror', 'nightmare', 'pain', 'death', 'fear']	1.0
We poured money into the education of our children.	['our youth', 'good life', 'education', 'freedom', 'we']	We invested money into the education of our children.	['our love for our child', 'our love', 'our love for them', 'our youth', 'our generation']	0.09111615923542012
People were pouring out of the theater.	['revolution', 'theater', 'freedom', 'tragedy', 'fame']	People were crowding out of the theater.	['tragedy', 'theater', 'violence', 'fear', 'hate']	0.4
She could not recapture that feeling of happiness.	['love', 'happiness', 'joy', 'life', 'freedom']	She could not recall that feeling of happiness.	['love', 'happiness', 'joy', 'happy', 'contentment']	0.6
She had to recast her image to please the electorate in her home state.	0	She had to change her image to please the electorate in her home state.	0	
The tornado ripped along the coast.	['destruction', 'tornado', 'violence', 'danger', 'terror']	The tornado moved along the coast.	['tornado', 'destruction', 'danger', 'storm', 'violence']	0.8
The candidate ripped into his opponent mercilessly.	['violence', 'victory', 'hatred', 'defeat', 'pain']	The candidate criticized into his opponent mercilessly.	['anger', 'power', 'hatred', 'violence', 'defeat']	0.6
