lemma_key	overlapping_ratio	gloss	num_sents
*level%2:33:02::	0.3333333333333333	aim at	4
*appeal%2:32:00::	1.0	request earnestly (something from somebody); ask for aid or protection	2
*tie%2:30:01::	0.3333333333333333	limit or restrict to	4
*suck%2:38:00::	1.0	draw something in by or as if by a vacuum	2
*mount%2:36:00::	0.3333333333333333	put up or launch	4
*lay%2:36:00::	0.25	prepare or position for action or operation	5
*stream%2:38:01::	0.5	to extend, wave or float outward, as if in the wind	3
*adhere%2:42:00::	0.7	be compatible or in accordance with	5
*compose%2:42:00::	0.2142857142857142	form the substance of	14
*revive%2:30:00::	1.0	be brought back to life, consciousness, or strength	2
*revive%2:29:00::	0.75	give new life or energy to	5
*crown%2:30:01::	1.0	be the culminating event	2
*put%2:34:00::	0.3333333333333333	attribute or give	4
*suspend%2:30:01::	0.3333333333333333	cause to be held in suspension in a fluid	4
*stumble%2:40:10::	1.0	encounter by chance	2
*culminate%2:30:00::	1.0	end, especially to reach a final or climactic stage	8
*poison%2:41:00::	0.5	spoil as if by poison	3
*vest%2:41:00::	1.0	provide with power and authority	2
*erase%2:30:00::	1.0	remove from memory or existence	5
*land%2:30:00::	0.5	bring into a different state	3
*attack%2:32:00::	0.125	attack in speech or writing	9
*neutralize%2:41:00::	1.0	make politically neutral and thus inoffensive	3
*aim%2:31:01::	0.1666666666666666	propose or intend	7
*precipitate%2:36:00::	0.3333333333333333	bring about abruptly	4
*drown%2:35:00::	0.6666666666666666	cover completely or make imperceptible	3
*drown%2:30:02::	1.0	get rid of as if by submerging	2
*reach%2:35:00::	0.0449735449735449	move forward or upward in order to touch; also in a metaphorical sense	28
*lie%2:42:02::	0.3333333333333333	have a place in relation to something else	4
*gather%2:32:00::	1.0	conclude from evidence	2
*inject%2:30:00::	0.5	to introduce (a new aspect or element)	3
*thunder%2:38:00::	1.0	move fast, noisily, and heavily	2
*shake%2:30:00::	0.3333333333333333	undermine or cause to waver	4
*capture%2:37:00::	0.3333333333333333	attract; cause to be enamored	4
*capture%2:36:00::	0.25	succeed in representing or expressing something intangible	5
*blaze%2:43:01::	1.0	shine brightly and intensively	3
*form%2:30:01::	0.1	give shape or form to	11
*form%2:42:00::	0.0434782608695652	to compose or represent:	24
*bow%2:32:01::	1.0	yield to another's wish or opinion	2
*abuse%2:30:00::	1.0	change the inherent purpose or function of something	2
*waste%2:40:00::	0.1111111111111111	spend thoughtlessly; throw away	10
*waste%2:34:05::	0.1666666666666666	use inefficiently or inappropriately	7
*relate%2:32:00::	0.3666666666666666	give an account of	6
*wallow%2:34:01::	1.0	devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure	2
*flash%2:32:00::	0.5	make known or cause to appear with great speed	3
*boost%2:30:02::	1.0	give a boost to; be beneficial to	2
*recapture%2:37:00::	1.0	experience anew	3
*glow%2:39:01::	1.0	have a complexion with a strong bright color, such as red or pink	2
*reflect%2:39:01::	0.3719512195121951	manifest or bring back	41
*blast%2:39:00::	0.5	make a strident sound	3
*push%2:32:00::	0.2	make publicity for; try to sell (a product)	6
*push%2:32:01::	0.1666666666666666	press, drive, or impel (someone) to action or completion of an action	7
*lock%2:35:04::	1.0	hold in a locking position	2
*lock%2:35:03::	1.0	become engaged or intermeshed with one another	2
