lemma	word	gloss	example_sentence
advanced%5:00:00:precocious:00	advanced	farther along in physical or mental development	the child 's skeletal age was classified as ` [advanced] '
advanced%5:00:00:late:02	advanced	comparatively late in a course of development	the illness had reached an [advanced] stage
advanced%5:00:00:progressive:01	advanced	ahead of the times	the [advanced] teaching methods
advanced%5:00:02:high:02	advanced	at a higher level in training or knowledge or skill	an [advanced] degree
advanced%5:00:00:high-tech:00	advanced	ahead in development; complex or intricate	[advanced] technology
advanced%5:00:00:late:00	advanced	far along in time	a man of [advanced] age
advanced%5:00:00:civilized:00	advanced	(of societies) highly developed especially in technology or industry	[advanced] societies
advanced%5:00:00:front:00	advanced	situated ahead or going before	at that time the most [advanced] outpost was still east of the Rockies
awkward%5:00:00:inconvenient:00	awkward	causing inconvenience	they arrived at an [awkward] time
awkward%3:00:00::	awkward	lacking grace or skill in manner or movement or performance	an [awkward] dancer
awkward%5:00:00:infelicitous:00	awkward	not elegant or graceful in expression	an [awkward] prose style
awkward%5:00:00:difficult:00	awkward	hard to deal with; especially causing pain or embarrassment	[awkward] ( or embarrassing or difficult ) moments in the discussion
awkward%5:00:00:uncomfortable:01	awkward	socially uncomfortable; unsure and constrained in manner	[awkward] and reserved at parties
bitter%5:00:00:resentful:00	bitter	marked by strong resentment or cynicism	[bitter] about the divorce
bitter%5:00:00:intolerable:00	bitter	very difficult to accept or bear	the [bitter] truth
bitter%5:00:00:unpleasant:00	bitter	harsh or corrosive in tone	[bitter] words
bitter%5:00:00:sorrowful:00	bitter	expressive of severe grief or regret	shed [bitter] tears
bitter%5:00:00:hostile:01	bitter	proceeding from or exhibiting great hostility or animosity	a [bitter] struggle
bitter%5:00:00:tasty:00	bitter	causing a sharp and acrid taste experience	quinine is [bitter]
bitter%5:00:00:painful:00	bitter	causing a sharply painful or stinging sensation; used especially of cold	[bitter] cold
brilliant%5:00:00:superior:02	brilliant	of surpassing excellence	a [brilliant] performance
brilliant%5:00:00:intelligent:00	brilliant	having or marked by unusual and impressive intelligence	a [brilliant] mind
brilliant%5:00:00:impressive:00	brilliant	characterized by grandeur	the [brilliant] court life at Versailles
brilliant%5:00:00:colorful:00	brilliant	having striking color	[brilliant] tapestries
brilliant%5:00:00:bright:00	brilliant	full of light; shining intensely	a [brilliant] star
brilliant%5:00:00:reverberant:00	brilliant	clear and sharp and ringing	the [brilliant] sound of the trumpets
broad%3:00:04::	broad	having great (or a certain) extent from one side to the other	a river two miles [broad]
broad%5:00:00:comprehensive:00	broad	broad in scope or content; ; ; ; ; - T.G.Winner	an invention with [broad] applications
broad%5:00:00:general:00	broad	not detailed or specific	a [broad] rule
broad%5:00:00:clear:00	broad	lacking subtlety; obvious	gave us a [broad] hint that it was time to leave
broad%5:00:00:high:02	broad	being at a peak or culminating point	[broad] daylight
broad%5:00:00:large:00	broad	very large in expanse or scope	a [broad] lawn
casual%5:00:00:unconcerned:00	casual	marked by blithe unconcern	an ability to interest [casual] students
casual%5:00:02:unplanned:00	casual	without or seeming to be without plan or method; offhand	a [casual] remark
casual%5:00:01:informal:01	casual	appropriate for ordinary or routine occasions	[casual] clothes
casual%5:00:01:unplanned:00	casual	occurring or appearing or singled out by chance	seek help from [casual] passers - by
casual%5:00:00:careless:00	casual	hasty and without attention to detail; not thorough	a [casual] ( or cursory ) inspection failed to reveal the house 's structural flaws
casual%5:00:02:informal:01	casual	natural and unstudied	using their Christian names in a [casual] way
certain%5:00:00:definite:00	certain	definite but not specified or identified	set aside a [certain] sum each week
certain%3:00:02::	certain	having or feeling no doubt or uncertainty; confident and assured	felt [certain] of success
certain%3:00:01::	certain	established beyond doubt or question; definitely known	what is [certain] is that every effect must have a cause
certain%3:00:03::	certain	certain to occur; destined or inevitable; ; ; - Benjamin Franklin	he was [certain] to fail
certain%5:00:00:careful:00	certain	exercising or taking care great enough to bring assurance	be [certain] to disconnect the iron when you are through
closed%3:00:01::	closed	not open or affording passage or access	the many [closed] streets made travel difficult
closed%3:00:03::	closed	used especially of mouth or eyes	he sat quietly with [closed] eyes
closed%5:00:00:union:00	closed	requiring union membership	a [closed] shop
closed%5:00:00:restricted:00	closed	not open to the general public	a [closed] meeting
closed%5:00:00:unreceptive:00	closed	not having an open mind	a [closed] mind unreceptive to new ideas
common%3:00:02::	common	belonging to or participated in by a community as a whole; public	for the [common] good
common%3:00:01::	common	having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual	the [common] man
common%5:00:00:shared:00	common	common to or shared by two or more parties	a [common] friend
common%5:00:00:familiar:02	common	commonly encountered	a [common] ( or familiar ) complaint
common%5:00:00:informal:02	common	being or characteristic of or appropriate to everyday language	[common] parlance
common%5:00:00:lowborn:00	common	of or associated with the great masses of people	the [common] people in those days suffered greatly
common%5:00:00:ordinary:00	common	to be expected; standard	[common] decency
complete%3:00:00::	complete	having every necessary or normal part or component or step	a [complete] meal
complete%5:00:00:perfect:00	complete	perfect and complete in every respect; having all necessary qualities	a [complete] gentleman
complete%5:00:00:skilled:00	complete	highly skilled	a [complete] musician
complete%5:00:00:unmitigated:00	complete	without qualification; used informally as (often pejorative) intensifiers	a [complete] coward
complete%5:00:00:finished:01	complete	having come or been brought to a conclusion	the harvesting was [complete]
conventional%3:00:00::	conventional	following accepted customs and proprieties	[conventional] wisdom
conventional%5:00:00:orthodox:00	conventional	conforming with accepted standards	a [conventional] view of the world
conventional%3:00:02::	conventional	(weapons) using energy for propulsion or destruction that is not nuclear energy	[conventional] warfare
