sentence1	sentence2	pred	gold	vua_label
<s> General Miguel Maza Marquez, <m>chief</m> of the Colombian Administrative Department Of Security (DAS), today confirmed foreign participation <m>in</m> the assassination of Luis Carlos Galan, senator and Liberal party presidential candidate, <m>on</m> 18 August in Bogota.</s>	<s> General Miguel Maza Marquez <m>took</m> part <m>in</m> the assassination of Luis Carlos Galan.</s>	entailment	not_entailment	0.0769230769230769
<s> For US pharmaceutical companies, the impending healthcare reforms <m>promise</m> an era of increased cost-<m>containment</m> and pricing <m>controls.</m></s>	<s> The US government <m>wants</m> to <m>keep</m> drug prices <m>down.</m></s>	not_entailment	entailment	0.2058823529411764
<s> As regards the headquarters building, the Swiss are stipulating that they would transfer it <m>to</m> the WTO for a value of <m>about</m> 51 million swiss franks.</s>	<s> The WTO <m>headquarters</m> are in Switzerland.</s>	entailment	not_entailment	0.075
"<s> The mistaken spelling, Miller explained, was <m>made in</m> a <m>section</m> of her notes unrelated <m>to</m> the interviews <m>with</m> Libby.  Other notes <m>documented</m> 3 interviews with Libby, conducted <m>in</m> the year 2003, that <m>in</m> her NYT column she wrote: June 23) ... Mr. Libby <m>raised</m> the <m>subject</m> of Mr. Wilson's wife for the first time. I wrote <m>in</m> my notes, <m>inside</m> parentheses, ""Wife works in bureau?"" I told Mr. Fitzgerald that I believed <m>this</m> was the first time I had been told that Mr. Wilson's wife might work for the C.I.A.</s>"	<s> Judith Miller works for the New York Times.</s>	not_entailment	entailment	0.1007751937984496
<s> <m>On</m> July 12 Portuguese President Jorge Sampaio asks Pedro Santana Lopes to <m>form</m> a government. The new government is sworn <m>in on</m> July 17 and includes AntÃ³nio Monteiro as foreign minister, Daniel Sanches as interior minister, and AntÃ³nio Bago Flix as finance minister; Paulo Portas remains defense minister.</s>	<s> New Portuguese prime minister is elected.</s>	not_entailment	entailment	0.054054054054054
<s> He became a boxing referee <m>in</m> 1964 and became most well-known for his decision <m>against</m> Mike Tyson, during the Holyfield fight, when Tyson bit Holyfield's ear.</s>	<s> Mike Tyson bit Holyfield's ear <m>in</m> 1964.</s>	entailment	not_entailment	0.0652173913043478
<s> Los Angeles County probation officials say they are now <m>studying</m> how other counties <m>recover</m> juvenile detention costs, <m>after admitting</m> they mistakenly billed parents for days when youths were held in probation camps and halls. By law, California counties can bill parents and legal guardians for some daily costs of detaining youths, but only <m>those</m> whose parents can afford to pay. Last year, more than 20,000 youths were admitted to probation camps and halls, and L.A. County billed parents a daily charge of $11.94 for camps, $23.63 for halls.</s>	<s> In Los Angeles County all parents have to pay the detention costs of their children.</s>	entailment	not_entailment	0.0393700787401574
<s> We <m>look at</m> the <m>cool relationship between these</m> two establishment families and how the party would <m>fare with</m> the son, Texas Gov. George W. Bush, and the wife, Elizabeth Dole, <m>on</m> the 2000 campaign <m>trail.</m></s>	<s> The name of George W. Bush's wife is Laura.</s>	entailment	not_entailment	0.175438596491228
<s> Cairo is now <m>home to</m> some 15 million people - a <m>burgeoning</m> population that produces approximately 10,000 tonnes of rubbish per day, <m>putting</m> an <m>enormous strain on</m> public services. <m>In</m> the past 10 years, the government has tried <m>hard</m> to encourage private investment <m>in</m> the refuse <m>sector,</m> but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are <m>fighting back.</m> In Shubra, one of the northern districts of the city, the residents have <m>taken</m> to the streets <m>armed</m> with dustpans and brushes to clean up public areas which have been used as public dumps.</s>	<s> 15 million tonnes of rubbish are produced daily in Cairo.</s>	entailment	not_entailment	0.093167701863354
<s> Increased storage isn't all Microsoft will be offering its Hotmail users--they can also <m>look forward to free</m> anti-virus protection.</s>	<s> Microsoft won't offer increased storage <m>to</m> its users.</s>	entailment	not_entailment	0.1282051282051282
