sense	class	confidence	sentence
absorb%2:31:00::	metaphorical	0.9	He <b>absorbed</b> the knowledge or beliefs of his tribe.
absorb%2:40:00::	metaphorical	0.9	He <b>absorbed</b> the costs for the accident.
absorb%2:30:00::	metaphorical	0.8	The sales tax is <b>absorbed</b> into the state income tax.
absorb%2:35:10::	metaphorical	0.8	The immigrants were quickly <b>absorbed</b> into society.
absorb%2:31:03::	metaphorical	0.7	Her interest in butterflies <b>absorbs</b> her completely.
abuse%2:41:00::	literal	0.52	This boss <b>abuses</b> his workers.
abuse%2:30:00::	metaphorical	0.5	Don't <b>abuse</b> the system.
abuse%2:32:00::	metaphorical	0.5	The actress <b>abused</b> the policeman who gave her a parking ticket.
abuse%2:30:02::	metaphorical	0.7	Her husband often <b>abuses</b> alcohol.
accommodate%2:34:00::	literal	0.7	Can you <b>accommodate</b> me with a rental car?
accommodate%2:42:03::	literal	0.9	This hotel can <b>accommodate</b> 250 guests
accommodate%2:30:01::	literal	0.8	The scientists had to <b>accommodate</b> the new results with the existing theories
acknowledge%2:32:04::	literal	0.9	The program committee <b>acknowledged</b> the submission of the authors of the paper
acknowledge%2:32:07::	literal	0.9	He never <b>acknowledges</b> his colleagues when they run into him in the hallway
acknowledge%2:32:01::	literal	0.9	We must <b>acknowledge</b> the kindness she showed towards us
acknowledge%2:31:02::	literal	0.9	<b>acknowledge</b> the deed
acknowledge%2:31:09::	literal	0.9	The Crown Prince was <b>acknowledged</b> as the true heir to the throne
acquaint%2:32:00::	literal	0.913	Permit me to <b>acquaint</b> you with my son.
acquaint%2:32:01::	literal	0.6	You should <b>acquaint</b> yourself with your new computer.
acquaint%2:32:02::	literal	0.8	Please <b>acquaint</b> your colleagues of your plans to move.
act%2:41:00::	literal	0.8	think before you <b>act</b>
act%2:36:03::	literal	0.9	She <b>acts</b> in this play
act%2:29:00::	literal	0.7	You should <b>act</b> like an adult
act%2:33:00::	metaphorical	0.5	She <b>acts</b> as the chair
act%2:42:00::	metaphorical	0.5	This scene <b>acts</b> well
address%2:32:00::	literal	0.6	He <b>addressed</b> the crowd outside the window.
address%2:41:08::	literal	0.7	He always <b>addresses</b> me with `Sir'.
adhere%2:42:00::	metaphorical	0.6	You must <b>adhere</b> to the rules.
adhere%2:30:00::	literal	0.8	They <b>adhered</b> to their plan.
adhere%2:42:02::	metaphorical	0.6	The residents of this village <b>adhered</b> to Catholicism.
adhere%2:35:00::	literal	0.9167	Will this wallpaper <b>adhere</b> to the wall?
administer%2:41:00::	literal	0.7	<b>administer</b> a program
